module,module_refined,gene,status,rationale
StressInflammation,ImmuneStress,ADAM28,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,ADAMTS9,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,APOD,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,CACTIN,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,CLDN18,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,CORO7,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,CRISP3,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,CXCL12,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,CYP2D6,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,DOCK5,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,LYVE1,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,MATN1,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,MROH7,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,NPEPL1,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,PDE7B,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,PRR36,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,RASD2,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,RELN,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,SIPA1,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,SLC6A20,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,SLIT2,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,SMOC2,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,TGFB3,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,THBS2,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,TMPRSS3,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,TMPRSS4,demoted,retained in discovery module but deprioritized for final manuscript core due to lower interpretability/specificity
StressInflammation,ImmuneStress,ADORA3,core,stress-inflammatory receptor signaling
StressInflammation,ImmuneStress,APOL1,core,immune-stress associated effector
StressInflammation,ImmuneStress,CFH,core,complement regulation / inflammatory context
StressInflammation,ImmuneStress,FPR3,core,immune chemotactic signaling
StressInflammation,ImmuneStress,GBP2,core,interferon-responsive immune effector
StressInflammation,ImmuneStress,HLA-DPA1,core,antigen presentation/inflammatory activation
StressInflammation,ImmuneStress,HLA-DRA,core,antigen presentation/inflammatory activation
StressInflammation,ImmuneStress,IDO1,core,interferon/inflammatory stress response
StressInflammation,ImmuneStress,IL1R2,core,IL-1 pathway / inflammatory response
StressInflammation,ImmuneStress,IL1RL1,core,innate inflammatory signaling
StressInflammation,ImmuneStress,LTB4R,core,leukotriene/inflammatory signaling
StressInflammation,ImmuneStress,MICB,core,stress-induced immune ligand; strong meta signal
StressInflammation,ImmuneStress,SERPING1,core,complement/inflammatory regulator
StressInflammation,ImmuneStress,TNFRSF10A,core,stress/apoptotic signaling
