pathway,logFC,pvalue,FDR,study
HALLMARK_ESTROGEN_RESPONSE_LATE,0.03057428618009979,6.307890846758462e-4,0.016786651197367306,GSE20966
HALLMARK_FATTY_ACID_METABOLISM,-0.007554217752070588,0.2860460855603996,0.48534687885361416,GSE20966
HALLMARK_G2M_CHECKPOINT,0.0158014130485663,0.0435624804413004,0.24902979092057945,GSE20966
HALLMARK_GLYCOLYSIS,0.008979383151896222,0.20788860588645755,0.39978578055087993,GSE20966
HALLMARK_HEDGEHOG_SIGNALING,-0.008293124197497071,0.3171272370708091,0.5114955436625953,GSE20966
HALLMARK_HEME_METABOLISM,0.0019255784065707346,0.6999192333153355,0.8156416245096455,GSE20966
HALLMARK_HYPOXIA,0.005493940609505677,0.5092223140101417,0.6881382621758672,GSE20966
HALLMARK_IL2_STAT5_SIGNALING,0.009325457020819097,0.269301657388238,0.48089581676471077,GSE20966
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.03941684081962344,0.0896507247314086,0.24902979092057945,GSE20966
HALLMARK_INFLAMMATORY_RESPONSE,0.010862614649101737,0.3310114634301369,0.5172054116095889,GSE20966
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.028065011127516432,0.16093741881644635,0.33528628920092995,GSE20966
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.02597719712086602,0.1294113115339998,0.32352827883499946,GSE20966
HALLMARK_KRAS_SIGNALING_DN,0.0058242059471745105,0.3682509830647903,0.557956034946652,GSE20966
HALLMARK_KRAS_SIGNALING_UP,0.018328666516367876,0.08863299481390821,0.24902979092057945,GSE20966
HALLMARK_MITOTIC_SPINDLE,-9.865231665488572e-5,0.9889617093791634,0.9889617093791634,GSE20966
HALLMARK_MTORC1_SIGNALING,-0.0024404647594271057,0.734077462058681,0.8156416245096455,GSE20966
HALLMARK_MYC_TARGETS_V1,-0.0038626831418542918,0.4748971223739804,0.6690344026017687,GSE20966
HALLMARK_MYC_TARGETS_V2,0.0016868718515725763,0.8749726395165643,0.8928292239964942,GSE20966
HALLMARK_MYOGENESIS,0.021234727117343366,0.04940723091547728,0.24902979092057945,GSE20966
HALLMARK_NOTCH_SIGNALING,0.020063127812699658,0.07452548129881797,0.24902979092057945,GSE20966
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.004066802518985998,0.5237366955641738,0.6891272310054919,GSE20966
HALLMARK_P53_PATHWAY,0.012909508690540285,0.046290052931975044,0.24902979092057945,GSE20966
HALLMARK_PANCREAS_BETA_CELLS,-0.018237929403978365,0.006015223047280568,0.10025371745467614,GSE20966
HALLMARK_PEROXISOME,-0.0020149040882803506,0.7818730689891206,0.831779860626724,GSE20966
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.001958885148719169,0.7018151436345088,0.8156416245096455,GSE20966
HALLMARK_PROTEIN_SECRETION,-0.01485955371151361,0.07733446338660288,0.24902979092057945,GSE20966
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.008422668401916456,0.15362356258530988,0.33528628920092995,GSE20966
HALLMARK_SPERMATOGENESIS,-0.002046393580870394,0.7684360205911352,0.831779860626724,GSE20966
HALLMARK_TGF_BETA_SIGNALING,0.01008710700419358,0.39019693427604185,0.5738190209941793,GSE20966
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03363962654487895,0.05202119614497744,0.24902979092057945,GSE20966
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.012494197834611587,0.08757416521886566,0.24902979092057945,GSE20966
HALLMARK_UV_RESPONSE_DN,-0.004504404718496817,0.7315956054039626,0.8156416245096455,GSE20966
HALLMARK_UV_RESPONSE_UP,0.00816567567319489,0.08338428794791107,0.24902979092057945,GSE20966
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.013737694847560447,0.15480110937064234,0.33528628920092995,GSE20966
HALLMARK_XENOBIOTIC_METABOLISM,0.00339426138380672,0.6241360032812577,0.7801700041015722,GSE20966
HALLMARK_ADIPOGENESIS,5.113212718146444e-4,0.9030510630905204,0.923311332896929,GSE38642
HALLMARK_ALLOGRAFT_REJECTION,0.021865181755675242,0.0015924992461758556,0.02918713778640509,GSE38642
HALLMARK_ANDROGEN_RESPONSE,0.006443468501074103,0.2767862999580314,0.4070386764088697,GSE38642
HALLMARK_ANGIOGENESIS,0.01864585882466709,0.2223850226041913,0.383422452765847,GSE38642
HALLMARK_APICAL_JUNCTION,0.014212254254733126,0.022840268510702557,0.10366951990881795,GSE38642
HALLMARK_APICAL_SURFACE,0.005770192374373135,0.45848258754673676,0.5591251067643132,GSE38642
HALLMARK_APOPTOSIS,0.01684794940707762,0.011532732845153623,0.07544242356838789,GSE38642
HALLMARK_BILE_ACID_METABOLISM,-0.00893515016050527,0.13223663317377493,0.23613684495316953,GSE38642
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0013111134921384626,0.8461392650583033,0.9094370467246281,GSE38642
HALLMARK_COAGULATION,0.017205001993091336,0.06809766431806442,0.16213729599539148,GSE38642
HALLMARK_COMPLEMENT,0.016875072644739475,0.01009469534087332,0.07544242356838789,GSE38642
HALLMARK_DNA_REPAIR,0.0019706327484255563,0.6745855003742727,0.7665744322434918,GSE38642
HALLMARK_E2F_TARGETS,0.004835007553364913,0.4292227088712067,0.5365283860890084,GSE38642
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.02981223910631472,0.06615651881055604,0.16213729599539148,GSE38642
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.01362510296542537,0.04546377487495071,0.12341517496389581,GSE38642
HALLMARK_ESTROGEN_RESPONSE_LATE,0.011619271977388955,0.09092968901969194,0.1842582322842542,GSE38642
HALLMARK_FATTY_ACID_METABOLISM,-1.2081414881479084e-4,0.9883939246836915,0.9883939246836915,GSE38642
HALLMARK_G2M_CHECKPOINT,0.005858942414760285,0.23944930839628747,0.38542832289207535,GSE38642
HALLMARK_GLYCOLYSIS,0.012375954690166559,0.02757984234279024,0.10366951990881795,GSE38642
HALLMARK_HEDGEHOG_SIGNALING,-0.021974128209284297,0.046897766486280405,0.12341517496389581,GSE38642
HALLMARK_HEME_METABOLISM,-0.0030073262589100985,0.32441290611843787,0.4250004159171337,GSE38642
HALLMARK_HYPOXIA,0.011743998094767043,0.08453622264145542,0.18377439704664222,GSE38642
HALLMARK_IL2_STAT5_SIGNALING,0.011605080250256524,0.029269243428845536,0.10366951990881795,GSE38642
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02379250115255767,0.012070787770942061,0.07544242356838789,GSE38642
HALLMARK_INFLAMMATORY_RESPONSE,0.02928071086957247,0.002334971022912407,0.02918713778640509,GSE38642
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.015231555228334234,0.28801606682086145,0.41145152402980206,GSE38642
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.01958924669745548,0.046095354076632934,0.12341517496389581,GSE38642
HALLMARK_KRAS_SIGNALING_DN,0.002264461722754552,0.7161958163169058,0.7957731292410064,GSE38642
HALLMARK_KRAS_SIGNALING_UP,0.027567150567224884,0.0013534018443979664,0.02918713778640509,GSE38642
HALLMARK_MITOTIC_SPINDLE,7.988832704927997e-4,0.9048451062389904,0.923311332896929,GSE38642
HALLMARK_MTORC1_SIGNALING,0.006257104886394376,0.11624980721557308,0.21527742076957979,GSE38642
HALLMARK_MYC_TARGETS_V1,0.012634037219256301,0.031100855972645385,0.10366951990881795,GSE38642
HALLMARK_MYC_TARGETS_V2,0.044885684916404545,0.0021345039266969994,0.02918713778640509,GSE38642
HALLMARK_MYOGENESIS,0.011418090520305147,0.03491153296683852,0.10909854052137039,GSE38642
HALLMARK_NOTCH_SIGNALING,0.009960913360501537,0.32690301891898865,0.4250004159171337,GSE38642
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.005983926319097558,0.3208510908624086,0.4250004159171337,GSE38642
HALLMARK_P53_PATHWAY,0.00777340106933541,0.0921291161421271,0.1842582322842542,GSE38642
HALLMARK_PANCREAS_BETA_CELLS,-0.03953034147056674,0.01693739254367904,0.0846869627183952,GSE38642
HALLMARK_PEROXISOME,-0.0030120167634280484,0.617431864336216,0.7179440282979256,GSE38642
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0019496155457008075,0.554986834763638,0.6606986128138547,GSE38642
HALLMARK_PROTEIN_SECRETION,-0.005803488693230682,0.07569319859779787,0.172029996813177,GSE38642
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0072308408394137986,0.10258832448426262,0.19728523939281276,GSE38642
HALLMARK_SPERMATOGENESIS,-0.014143093451576622,0.009349473480611348,0.07544242356838789,GSE38642
HALLMARK_TGF_BETA_SIGNALING,0.009000226814413672,0.24667412665092822,0.38542832289207535,GSE38642
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03887729169575469,0.015912589921617176,0.0846869627183952,GSE38642
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.011980671138693416,0.030600699151857126,0.10366951990881795,GSE38642
HALLMARK_UV_RESPONSE_DN,0.0015082500487277912,0.8548708239211504,0.9094370467246281,GSE38642
HALLMARK_UV_RESPONSE_UP,0.003939038048441348,0.33150032441536426,0.4250004159171337,GSE38642
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.006903072130326449,0.23568881748992765,0.38542832289207535,GSE38642
HALLMARK_XENOBIOTIC_METABOLISM,0.010504496985603256,0.2580253912553527,0.39094756250811014,GSE38642
HALLMARK_ADIPOGENESIS,0.006661946752923385,0.24840581242060164,0.27852690850084516,GSE164416
HALLMARK_ALLOGRAFT_REJECTION,0.04318817964359344,0.00224014549367247,0.009333939556968625,GSE164416
HALLMARK_ANDROGEN_RESPONSE,0.005507529179151708,0.4991272778109812,0.4991272778109812,GSE164416
HALLMARK_ANGIOGENESIS,0.08747146800746118,4.5055089853058536e-4,0.006661358782530558,GSE164416
HALLMARK_APICAL_JUNCTION,0.03455276284729914,9.295986914130305e-5,0.0023239967285325763,GSE164416
HALLMARK_APICAL_SURFACE,0.01971549395896362,0.12441387272883653,0.15950496503696993,GSE164416
HALLMARK_APOPTOSIS,0.035899238010224134,0.0011690047519003087,0.00676315568964313,GSE164416
HALLMARK_BILE_ACID_METABOLISM,-0.008077062127024543,0.05789849511316046,0.08514484575464774,GSE164416
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.009266157036038227,0.16969462072235722,0.2069446594175088,GSE164416
HALLMARK_COAGULATION,0.05967340565946149,0.001800803839726888,0.008185471998758583,GSE164416
HALLMARK_COMPLEMENT,0.03243799536083352,0.014185344863959833,0.026269157155481174,GSE164416
HALLMARK_DNA_REPAIR,-0.006777838220287163,0.1230134226280193,0.15950496503696993,GSE164416
HALLMARK_E2F_TARGETS,-0.01330029690881951,0.007111269961324889,0.016161977184829295,GSE164416
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.09688720906983768,0.0012173680241357634,0.00676315568964313,GSE164416
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.022925840752893153,0.007599837013276504,0.01652138481147066,GSE164416
HALLMARK_ESTROGEN_RESPONSE_LATE,0.023147820915635435,0.009057421947573814,0.018114843895147628,GSE164416
HALLMARK_FATTY_ACID_METABOLISM,-0.006050977977751651,0.3685184342833906,0.3920408875355219,GSE164416
HALLMARK_G2M_CHECKPOINT,-0.0025643315037125005,0.47692558849735367,0.48665876377280987,GSE164416
HALLMARK_GLYCOLYSIS,0.0062968807053514235,0.23453553966283458,0.2727157437939937,GSE164416
HALLMARK_HEDGEHOG_SIGNALING,0.017272687316931653,0.027937748786404686,0.043652732478757325,GSE164416
HALLMARK_HEME_METABOLISM,0.0075441373640851295,0.045963700837521895,0.06964197096594227,GSE164416
HALLMARK_HYPOXIA,0.036908942874191976,0.0037364995909311798,0.01133819903833638,GSE164416
HALLMARK_IL2_STAT5_SIGNALING,0.028693126854755845,0.0031836563327963894,0.010612187775987965,GSE164416
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.03683190715206608,0.01606547532225638,0.028688348789743537,GSE164416
HALLMARK_INFLAMMATORY_RESPONSE,0.047936339766233856,0.004313234279603749,0.01168877374418822,GSE164416
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.04684317193503091,0.003018369278612998,0.010612187775987965,GSE164416
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05000769795606084,7.993630539036669e-4,0.006661358782530558,GSE164416
HALLMARK_KRAS_SIGNALING_DN,0.007795961195055611,0.25067421765076064,0.27852690850084516,GSE164416
HALLMARK_KRAS_SIGNALING_UP,0.047240650252194594,0.0029399393860666226,0.010612187775987965,GSE164416
HALLMARK_MITOTIC_SPINDLE,0.015527652115271686,7.188814392992121e-4,0.006661358782530558,GSE164416
HALLMARK_MTORC1_SIGNALING,-0.006126246533545677,0.38146563272189693,0.39736003408530934,GSE164416
HALLMARK_MYC_TARGETS_V1,-0.011431540859679692,0.003854987673034369,0.01133819903833638,GSE164416
HALLMARK_MYC_TARGETS_V2,-0.029274073179237553,0.0014349113698231264,0.007174556849115632,GSE164416
HALLMARK_MYOGENESIS,0.05234939660059587,5.483036988629628e-7,2.7415184943148138e-5,GSE164416
HALLMARK_NOTCH_SIGNALING,0.02286737724423028,0.0869034307611457,0.12414775823020816,GSE164416
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.012913217541600856,0.008632103049899193,0.01798354802062332,GSE164416
HALLMARK_P53_PATHWAY,0.019762415914622695,9.817388638510296e-4,0.00676315568964313,GSE164416
HALLMARK_PANCREAS_BETA_CELLS,-0.021536096461421326,0.004441734022791523,0.01168877374418822,GSE164416
HALLMARK_PEROXISOME,-0.006907493631759655,0.19449808018664144,0.23154533355552553,GSE164416
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00857650610452959,0.012986598076649064,0.02497422707047897,GSE164416
HALLMARK_PROTEIN_SECRETION,-0.006067307213274466,0.1509534475608252,0.1886918094510315,GSE164416
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.01781120538776229,6.139212260927929e-4,0.006661358782530558,GSE164416
HALLMARK_SPERMATOGENESIS,-0.003958704695657566,0.26955824614597046,0.2929980936369244,GSE164416
HALLMARK_TGF_BETA_SIGNALING,0.036740380543216426,0.005963415562007581,0.014908538905018951,GSE164416
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04792447990861866,0.02351343301207598,0.03918905502012664,GSE164416
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.009701455892142375,0.10395894349842716,0.14048505878165832,GSE164416
HALLMARK_UV_RESPONSE_DN,0.03961327827090846,0.006802831449664272,0.016161977184829295,GSE164416
HALLMARK_UV_RESPONSE_UP,0.012309142565834099,0.019188231379788555,0.03308315755135958,GSE164416
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.016054005987995196,0.02473426923508324,0.03989398263723103,GSE164416
HALLMARK_XENOBIOTIC_METABOLISM,0.013978497617406571,0.09010190034807655,0.12514152826121744,GSE164416
