gene,k,meta_logFC,meta_SE,meta_z,meta_pvalue,tau2,I2,QEp,direction_consistency,studies,meta_FDR
MOXD1,4,0.3825283036739966,0.08476867839534488,4.512613749738528,6.403357226321549e-6,3.277932806994766e-6,0.0066712543337068605,0.05385549002827443,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0014879720362178345
PKIB,3,-0.3637399052984919,0.080636125492469915,-4.510880242286184,6.455916309779418e-6,2.174690876128634e-6,0.007568610876446462,0.3493473020768234,1,GSE164416;GSE20966;GSE38642,0.0014879720362178345
MTUS2,4,-0.4577972508724281,0.10194024032430052,-4.4908394311809205,7.094301958752018e-6,0,0,9.309139429080799e-5,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0015118052421180229
MCCC1,4,-0.3606846683521106,0.08028951119319995,-4.492301210854283,7.045767521816348e-6,0.001147058697279267,3.300679573799386,0.19808639532320674,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0015118052421180229
SCN7A,4,0.3239835348850996,0.07202403126668805,4.498269941118191,6.8508676924920635e-6,0,0,0.5178712829768771,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0015118052421180229
TMEM38B,4,-0.3239598680694988,0.07205057519528592,-4.496284272421668,6.9151270534177734e-6,0,0,9.25772318416948e-5,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0015118052421180229
COG6,3,-0.29504397170904606,0.06570706072915955,-4.490293256689705,7.1125181281036105e-6,1.1258099489267357e-6,0.00609964784895724,0.2992739029912843,1,GSE164416;GSE20966;GSE38642,0.0015118052421180229
UBL3,4,-0.2767890597311241,0.061482109385111255,-4.501944752698293,6.733448681105214e-6,0,0,2.6077120992814152e-6,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0015118052421180229
SVIL,4,0.38800078181951225,0.08664993958485062,4.477796334059396,7.54174992548963e-6,1.8014031536279666e-6,0.005293937146955806,0.05138080158317973,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0015854250118089738
ZNF91,4,-0.35317280143926316,0.0790811680413866,-4.465953275430031,7.9713007281287e-6,1.889541208746955e-6,0.004953504828226871,0.18810956099278633,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0016575106840119784
DACH2,3,-0.42576748514971396,0.09545031119760161,-4.460619141076329,8.172321121393818e-6,2.0020291913572698e-6,0.005417377108567644,0.07777061581611927,1,GSE164416;GSE20966;GSE38642,0.0016781172640360869
RASSF2,4,0.35992911658441074,0.08072513569683795,4.458699430820645,8.245845416591332e-6,0,0,0.42627285207558974,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0016781172640360869
MAGEH1,4,-0.32824060586815007,0.07394178806929162,-4.439175930673361,9.030397753955225e-6,3.342256162237353e-6,0.011106307153524838,0.07602364944285928,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0017994948857621195
PDE4DIP,3,-0.33732694298428334,0.07605846339489222,-4.435100683442638,9.202926760154356e-6,0,0,0.9574179945554907,1,GSE164416;GSE20966;GSE25724,0.001810634629848125
TRIM37,4,-0.2744809088937141,0.061942548007977855,-4.43121759954664,9.370247169626993e-6,0,0,3.3916656926608353e-6,1,GSE164416;GSE20966;GSE25724;GSE38642,0.001810634629848125
OXCT1,4,-0.34704112937145004,0.07870041670250952,-4.409647927065982,1.035388124208963e-5,3.235622967623307e-6,0.009422160995495598,0.5028469012543273,1,GSE164416;GSE20966;GSE25724;GSE38642,0.001980697481611746
ARL1,4,-0.2530077574452463,0.05740875894617051,-4.407128147160955,1.047502199268339e-5,0,0,5.066956689710252e-5,1,GSE164416;GSE20966;GSE25724;GSE38642,0.001984031393267656
CFAP36,3,-0.2135345910044256,0.048520233297477504,-4.400939082366839,1.0778338402260416e-5,3.965898557914939e-6,0.04028242564124477,0.43209972500655525,1,GSE164416;GSE20966;GSE38642,0.0020214668003455077
TTC7B,3,-0.45314850601755163,0.10369926312566095,-4.369833423680496,1.2434135049139675e-5,0.006051449853557041,16.321643842883073,0.24351069731861688,1,GSE164416;GSE20966;GSE38642,0.002182247738440752
CTNNA2,4,-0.429363520542988,0.09814865017544942,-4.374624814253305,1.2164150838808145e-5,0,0,0.014210682471048668,1,GSE164416;GSE20966;GSE25724;GSE38642,0.002182247738440752
TMEM237,3,-0.2895115808531112,0.06652906614141614,-4.351655564166749,1.3511340379159945e-5,3.149961030311873e-6,0.017494089396601218,0.2852486760095671,1,GSE164416;GSE20966;GSE38642,0.002328576049129097
KBTBD7,3,-0.2961233790819259,0.06813726496830118,-4.345982763172082,1.386534577736205e-5,0,0,0.8145432635652317,1,GSE164416;GSE20966;GSE38642,0.0023682505778655
SIPA1,3,0.5951819790609854,0.13727274702986955,4.335762137341639,1.4525595328309955e-5,0,0,0.7682661596319401,1,GSE164416;GSE20966;GSE25724,0.002417749470390092
ELAC1,4,-0.2605753418543323,0.06007134170433504,-4.337764638866521,1.4393917137187517e-5,1.4405923273139285e-8,7.546612538468923e-5,0.4042936615031589,1,GSE164416;GSE20966;GSE25724;GSE38642,0.002417749470390092
ZCRB1,3,-0.239933671518531,0.05533997418619096,-4.3356303476267595,1.4534301573176194e-5,3.1589547608358953e-6,0.025670973101580893,0.08693506701270376,1,GSE164416;GSE20966;GSE38642,0.002417749470390092
MED27,3,-0.4331971347880071,0.10005232327370582,-4.329705904009259,1.4930860810366243e-5,3.376057093451846e-7,6.987148702377865e-4,0.3071379784478299,1,GSE164416;GSE20966;GSE25724,0.002462304890537123
DSP,4,-0.2806745462496669,0.06500800856756832,-4.317537983922983,1.5777926279086556e-5,6.75650279417612e-4,2.873936939543627,0.0753381723913452,1,GSE164416;GSE20966;GSE25724;GSE38642,0.002571102815400447
DIXDC1,4,-0.2368167250304225,0.05486439646230752,-4.316400804538484,1.585939007931274e-5,0,0,0.002918826890788378,1,GSE164416;GSE20966;GSE25724;GSE38642,0.002571102815400447
MST1R,4,0.4034860328231984,0.0938283367027515,4.3002577579675485,1.7059956439214422e-5,0,0,0.846939312006379,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0026914309069070055
CASD1,4,-0.2676614303055098,0.06226269522795647,-4.298905296751876,1.716437901948012e-5,0,0,0.033275632359726685,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0026914309069070055
TAB2,4,-0.22365983336907638,0.05199896078485112,-4.301236601525224,1.6984758539257348e-5,0,0,0.18745773412808436,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0026914309069070055
FPR3,4,0.5813554040711566,0.13549829594479412,4.290499744055951,1.7827149145722754e-5,0,0,0.4410490575240374,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0027726289687615958
SLC16A9,3,-0.560138765871366,0.1306893179912626,-4.2860332770947265,1.8189175327233968e-5,3.6733961119407167e-6,0.005040654815658161,0.3169332643414389,1,GSE164416;GSE20966;GSE38642,0.002783671392079886
PRELP,4,0.4085503685122984,0.09531547673961088,4.286296228978672,1.81676693502456e-5,0,0,0.7070236697079368,1,GSE164416;GSE20966;GSE25724;GSE38642,0.002783671392079886
FAM47E-STBD1,3,-0.5570399227867586,0.1303087729144124,-4.274769152746345,1.9133543720033374e-5,0,0,0.5181644130884294,1,GSE164416;GSE25724;GSE38642,0.0028595679012831127
LYVE1,4,0.5205607408811063,0.12172410980195965,4.276562315617162,1.8980144498692103e-5,0,0,0.8663232307245335,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0028595679012831127
TRAPPC13,4,-0.24920368037656537,0.05889034942217021,-4.231655658724088,2.3197736670905888e-5,0,0,0.0943007077637162,1,GSE164416;GSE20966;GSE25724;GSE38642,0.003387577881789539
RRAGB,4,-0.269773812442044,0.06396377834831143,-4.217602827853676,2.469132319176639e-5,4.720587166850049e-6,0.024945800395083217,0.6982543789421979,1,GSE164416;GSE20966;GSE25724;GSE38642,0.003551466260590158
MYCBP2,4,-0.20246650390398807,0.04813168656373679,-4.206511725615068,2.5934263350030103e-5,7.467449362800606e-7,0.004174220471162511,0.011247168194359202,1,GSE164416;GSE20966;GSE25724;GSE38642,0.003679092332559666
SLC6A20,4,0.5378191335610703,0.12806929107746798,4.199438671334162,2.6757748960763303e-5,0.010515898836431035,12.97405011063714,0.5000775700723721,1,GSE164416;GSE20966;GSE25724;GSE38642,0.003736126029553934
NLRP1,3,0.3706979235346311,0.08848020400518389,4.1896142499051265,2.794290662333402e-5,0,0,0.004546066742412338,1,GSE164416;GSE20966;GSE25724,0.0038181985978884268
PAPSS2,4,-0.3660628487697511,0.08750183300050614,-4.183487776394737,2.870705322660885e-5,0,0,0.023975482261367583,1,GSE164416;GSE20966;GSE25724;GSE38642,0.003894793817198775
SERPINB9,4,0.4361852983194773,0.10432553375749247,4.181002316589166,2.9022690697342132e-5,1.68104258800245e-6,0.0021824550964993084,0.1326631896478696,1,GSE164416;GSE20966;GSE25724;GSE38642,0.003909887838310951
ALDH1A2,4,0.46168935719174037,0.11067621944149648,4.171531694175637,3.025589628615398e-5,0.0013802854096524972,2.0134804336321146,0.2131119235409903,1,GSE164416;GSE20966;GSE25724;GSE38642,0.004047519552126753
CISD1,4,-0.20472921358175658,0.04912180490325521,-4.167786871532271,3.075713064310866e-5,0,0,0.6309347806032257,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0040859993694629775
RCAN2,4,-0.33532676044262755,0.08062933250931545,-4.1588681191660095,3.19828479268754e-5,0,0,1.4517396900825425e-6,1,GSE164416;GSE20966;GSE25724;GSE38642,0.004219530212697424
NXPE3,4,-0.2561701241619683,0.0618412513685922,-4.142382608578187,3.4371631019543394e-5,3.81630340260266e-6,0.021927870266331934,0.425087458447237,1,GSE164416;GSE20966;GSE25724;GSE38642,0.004503625352081268
CRYL1,4,-0.2788885878133308,0.06737155110252656,-4.139560144443104,3.4797236538245316e-5,0,0,0.37763718305600497,1,GSE164416;GSE20966;GSE25724;GSE38642,0.004528375067868251
PPM1E,4,-0.48014198416297615,0.11604153754148351,-4.13767340846661,3.5084527505639374e-5,0,0,5.297352512810442e-6,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0045349122377221695
CPED1,4,0.3510071832798272,0.08570179239939298,4.095680772276513,4.20929622144638e-5,0,0,0.7532566479920971,1,GSE164416;GSE20966;GSE25724;GSE38642,0.005297620836596661
EPM2AIP1,4,-0.2194293242935541,0.05379223012999395,-4.079201099550672,4.519073259352031e-5,7.84373089587416e-6,0.040913252565599995,0.0850456721508555,1,GSE164416;GSE20966;GSE25724;GSE38642,0.005613628016324958
SLC16A7,4,0.5094289574794455,0.12512547920315814,4.071344707118513,4.674251928400223e-5,0,0,0.6864502772946103,1,GSE164416;GSE20966;GSE25724;GSE38642,0.005695441999381929
SH2D4A,4,0.43677997013424874,0.1072475960738876,4.072631798976005,4.6484879760104845e-5,1.6633434114787289e-6,0.002862286598352016,0.21323278535347423,1,GSE164416;GSE20966;GSE25724;GSE38642,0.005695441999381929
RAB9B,3,-0.3265359393540674,0.08045512262322936,-4.058609678382225,4.936574671533198e-5,1.313811646815337e-6,0.004819423362749121,0.24129127731385552,1,GSE164416;GSE20966;GSE38642,0.005977004649774056
NEFL,4,0.31009380038810436,0.07654819571364609,4.050961586973429,5.100758155964682e-5,0,0,3.6926685725567304e-05,1,GSE164416;GSE20966;GSE25724;GSE38642,0.0061369499071449295
NT5DC1,3,-0.22941687215699536,0.056746809085711655,-4.042815373292249,5.281320603122191e-5,0.0017332965749746842,14.0260658408369,0.3603958881614299,1,GSE164416;GSE20966;GSE38642,0.00631447894610797
TBC1D2B,3,0.506521885588208,0.12543141611202246,4.038237797904112,5.385424500676046e-5,0,0,0.8711778857736064,1,GSE164416;GSE20966;GSE25724,0.0063594549813538745
MOB4,3,-0.4690296435462882,0.11622013736373672,-4.035700302765568,5.443967182274093e-5,5.384640011875739e-7,4.4174612458186107e-4,0.05154385998334016,1,GSE164416;GSE20966;GSE25724,0.006389146760546221
NCOA3,4,-0.21973398341946646,0.05456280560870011,-4.027175306843635,5.645094364696242e-5,2.0690385027011444e-6,0.011598073694949269,0.6006893977162925,1,GSE164416;GSE20966;GSE25724;GSE38642,0.006505461156424043
MBIP,4,-0.1953992777715845,0.048511558955498565,-4.027891124893171,5.6279393030505955e-5,0,0,0.5905240649462383,1,GSE164416;GSE20966;GSE25724;GSE38642,0.006505461156424043
TCTA,4,-0.28256456553428766,0.0702349664808624,-4.023132346924103,5.74292031454812e-5,0,0,0.37682509998894825,1,GSE164416;GSE20966;GSE25724;GSE38642,0.006578566803431469
NSL1,4,-0.2254797848046885,0.05620440162069567,-4.01178160967489,6.026223541623257e-5,0,0,0.21942124009340017,1,GSE164416;GSE20966;GSE25724;GSE38642,0.006862003354241244
TCEAL8,3,-0.24644007040542046,0.06146055713267602,-4.009727244636357,6.078892594139783e-5,6.893711207630037e-6,0.04332709855360035,0.2619701964513244,1,GSE164416;GSE20966;GSE38642,0.006881018658336926
FBXO33,3,-0.2276295061678716,0.056962424826492754,-3.9961344142428956,6.438518604521793e-5,0,0,0.6469173483450605,1,GSE164416;GSE20966;GSE38642,0.007245227112029524
LYPLAL1,3,-0.3103739061696885,0.07772966434710103,-3.9929917204288565,6.524484749223363e-5,0,0,0.6222825432825037,1,GSE164416;GSE20966;GSE38642,0.007299028845183797
RELN,4,0.6042022133864969,0.15146448517757502,3.9890685442078255,6.633325358689426e-5,0,0,0.7212181189327813,0.75,GSE164416;GSE20966;GSE25724;GSE38642,0.007335000815706862
AIG1,3,-0.2841562091331889,0.07126196574387778,-3.9874876614332124,6.67766760930237e-5,1.2313960598766215e-6,0.005344359556446061,0.27574659722862377,1,GSE164416;GSE20966;GSE38642,0.007341596630227261
PCDHGA10,3,0.43667058499302225,0.10966411968276144,3.9818911258872243,6.836909839015626e-5,0,0,0.5961095785935702,1,GSE164416;GSE20966;GSE25724,0.007473719155449653
PPM1L,3,-0.3111395490119262,0.07823040006592137,-3.977220476307706,6.972551094007202e-5,2.4252415443846377e-6,0.00928211323027859,0.30381920135451784,1,GSE164416;GSE20966;GSE38642,0.00753587019369253
SNTB1,4,0.3106820946178141,0.07816603054699178,3.9746433641790024,7.048479459385995e-5,2.8021533547874154e-6,0.007894255518691105,0.4550968541678911,1,GSE164416;GSE20966;GSE25724;GSE38642,0.007575135508879442
TMPRSS4,4,0.5556459896265464,0.13998692286794162,3.969270687882195,7.20929479770229e-5,3.9327432749560066e-8,3.1245099481301164e-5,0.6786696793268658,0.75,GSE164416;GSE20966;GSE25724;GSE38642,0.007682967912544365
TNFRSF10A,3,0.5506873294526733,0.13898680037721559,3.9621556000863856,7.427610540648098e-5,0,0,0.9711375118214064,1,GSE164416;GSE20966;GSE38642,0.007722292915358593
C1QTNF3,3,0.4047050283270629,0.10211210848984727,3.963340237630111,7.39083303879968e-5,0,0,0.9627012353216684,1,GSE164416;GSE20966;GSE25724,0.007722292915358593
CIPC,3,-0.22244212668519378,0.05610971386661199,-3.964413848446974,7.357651230756059e-5,0,0,0.6443918758506658,1,GSE164416;GSE20966;GSE38642,0.007722292915358593
ABCA3,4,-0.3201629273366768,0.08090852713548706,-3.957097461439896,7.586598295825885e-5,0,0,0.8126295059485338,1,GSE164416;GSE20966;GSE25724;GSE38642,0.007844952724278334
C7ORF25,4,-0.23121813038688582,0.05853071611468731,-3.9503724836345455,7.802966194440415e-5,0,0,0.8389000911756597,1,GSE164416;GSE20966;GSE25724;GSE38642,0.008025308779550813
BRAP,4,-0.20374604659847734,0.05174949227715638,-3.937160301153647,8.24515307590053e-5,0,0,0.3255609986535748,1,GSE164416;GSE20966;GSE25724;GSE38642,0.008389881826700911
